Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Travis Hunter","WR","82","30","13","","0"
"Rashee Rice","WR","83","31","13","target","0"
"Sam Darnold","QB","84","29","13","","0"
"D'Andre Swift","RB","85","22","13","","0"
"Zay Flowers","WR","86","32","13","","0"
"David Montgomery","RB","87","23","13","","0"
"Chris Olave","WR","88","33","13","","0"
"Jauan Jennings","WR","89","34","13","target","0"
"Aaron Jones","RB","90","24","13","","0"
"Rome Odunze","WR","91","35","13","target","0"
"Isiah Pacheco","RB","92","25","14","","0"
"Stefon Diggs","WR","93","36","14","","0"
"Jakobi Meyers","WR","94","37","14","target","0"
"Khalil Shakir","WR","95","38","14","","0"
"Joe Mixon","RB","96","26","14","","0"
"Tony Pollard","RB","97","27","15","","0"
"Chris Godwin","WR","98","39","15","","0"
"Jerry Jeudy","WR","99","40","15","","0"
"Ricky Pearsall","WR","100","41","15","target","0"
"Jayden Reed","WR","101","42","15","target","0"
"Deebo Samuel","WR","102","43","15","","0"
"Sam LaPorta","TE","103","4","15","","0"
"Jordan Addison","WR","104","44","15","","0"
"Jaylen Warren","RB","105","28","16","target","0"
"Matthew Golden","WR","106","45","16","target","0"
"Kaleb Johnson","RB","107","29","16","","0"
"T.J. Hockenson","TE","108","5","17","","0"
"Emeka Egbuka","WR","109","46","17","","0"
"Darnell Mooney","WR","110","47","17","","0"
"Josh Downs","WR","111","48","17","","0"
"Cooper Kupp","WR","112","49","18","","0"
"Tyrone Tracy","RB","113","30","18","","0"
"Michael Pittman","WR","114","50","18","target","0"
"Brian Robinson","RB","115","31","19","","0"
"Mark Andrews","TE","116","6","19","","0"
"Jayden Higgins","WR","117","51","19","","0"
"Tre Harris","WR","118","52","19","","0"
"Travis Etienne","RB","119","32","19","","0"
"J.K. Dobbins","RB","120","33","20","","0"
"Evan Engram","TE","121","7","20","","0"
"Cam Skattebo","RB","122","34","20","","0"
"Jordan Mason","RB","123","35","20","","0"
"Keon Coleman","WR","124","53","20","","0"
"Travis Kelce","TE","125","8","20","","0"
"Rashid Shaheed","WR","126","54","20","","0"
"Luther Burden","WR","127","55","20","","0"
"Brandon Aiyuk","WR","128","56","21","","0"
"Tank Bigsby","RB","129","36","21","target","0"
"Javonte Williams","RB","130","37","21","","0"
"Zach Charbonnet","RB","131","38","21","","0"
"Jaydon Blue","RB","132","39","22","","0"
"David Njoku","TE","133","9","22","","0"
"Austin Ekeler","RB","134","40","22","target","0"
"Tyjae Spears","RB","135","41","22","","0"
"Rhamondre Stevenson","RB","136","42","22","","0"
"Bhayshul Tuten","RB","137","43","22","","0"
"Tucker Kraft","TE","138","10","23","","0"
"Colston Loveland","TE","139","11","24","","0"
"Russell Wilson","QB","140","30","23","","0"
"Marvin Mims","WR","141","57","23","","0"
"Quinshon Judkins","RB","142","44","23","","0"
"Dylan Sampson","RB","143","45","23","","0"
"Tyler Warren","TE","144","12","23","target","0"
"Ray Davis","RB","145","46","23","","0"
"Jerome Ford","RB","146","47","24","","0"
"Dallas Goedert","TE","147","13","24","","0"
"Braelon Allen","RB","148","48","24","target","0"
"Christian Kirk","WR","149","58","24","","0"
"Rachaad White","RB","150","49","24","","0"
"Roschon Johnson","RB","151","50","24","","0"
"Trey Benson","RB","152","51","24","","0"
"Najee Harris","RB","153","52","24","","0"
"Kyle Williams","WR","154","59","24","","0"
"Jaxson Dart","QB","155","31","24","","0"
"Daniel Jones","QB","156","32","24","","0"
"Tyler Shough","QB","157","33","24","","0"
"Dalton Kincaid","TE","158","14","24","","0"
"Hollywood Brown","WR","159","60","24","","0"
"Cedric Tillman","WR","160","61","24","","0"
"Jaylen Wright","RB","161","53","24","","0"
"Isaac Guerendo","RB","162","54","24","","0"
"Jalen McMillan","WR","163","62","25","","0"
"Jake Ferguson","TE","164","15","25","","0"
"Rashod Bateman","WR","165","63","25","","0"
"Kyle Pitts","TE","166","16","25","","0"
"Adam Thielen","WR","167","64","25","","0"
"DeMario Douglas","WR","168","65","26","target","0"
"Nick Chubb","RB","169","55","26","","0"
"Romeo Doubs","WR","170","66","26","","0"
"Brenton Strange","TE","171","17","26","","0"
"Wan'Dale Robinson","WR","172","67","27","","0"
"Xavier Legette","WR","173","68","27","","0"
"Mike Gesicki","TE","174","18","28","","0"
"Isaiah Likely","TE","175","19","28","","0"
"Jack Bech","WR","176","69","28","","0"
"Hunter Henry","TE","177","20","28","","0"
"Rico Dowdle","RB","178","56","28","","0"
"Pat Bryant","WR","179","70","28","","0"
"Tyler Allgeier","RB","180","57","28","","0"
"Brashard Smith","RB","181","58","28","","0"
"Keenan Allen","WR","182","71","28","","0"
"MarShawn Lloyd","RB","183","59","29","","0"
"Zach Ertz","TE","184","21","29","","0"
"Joe Flacco","QB","185","34","29","","0"
"Jonnu Smith","TE","186","22","29","","0"
"Justice Hill","RB","187","60","29","","0"
"Quentin Johnston","WR","188","72","29","","0"
"Chig Okonkwo","TE","189","23","30","","0"
"Elijah Arroyo","TE","190","24","30","","0"
"Darren Waller","TE","191","25","30","","0"
"Mason Taylor","TE","192","26","30","","0"
"Dont'e Thornton","WR","193","73","30","","0"
"Pat Freiermuth","TE","194","27","31","","0"
"Jalen Royals","WR","195","74","31","","0"
"Blake Corum","RB","196","61","31","","0"
"Joshua Palmer","WR","197","75","31","","0"
"Jarquez Hunter","RB","198","62","32","target","0"
"DeAndre Hopkins","WR","199","76","32","","0"
"Jaylin Noel","WR","200","77","32","","0"
"Theo Johnson","TE","201","28","32","","0"
"Alec Pierce","WR","202","78","32","","0"
"Calvin Austin","WR","203","79","32","","0"
"Cade Otton","TE","204","29","999","","0"
"Shedeur Sanders","QB","205","35","999","","0"
"Devin Neal","RB","206","63","999","","0"
"Dalton Schultz","TE","207","30","999","","0"
"Ja'Tavion Sanders","TE","208","31","999","","0"
"Terrance Ferguson","TE","209","32","999","","0"
"Jalen Milroe","QB","210","36","999","","0"
"Kareem Hunt","RB","211","64","999","","0"
"Juwan Johnson","TE","212","33","999","","0"
"Cole Kmet","TE","213","34","999","","0"
"Jalen Coker","WR","214","80","999","","0"
"DJ Giddens","RB","215","65","998","","0"
"Michael Wilson","WR","216","81","999","","0"
"Tyler Lockett","WR","217","82","999","","0"
"Will Shipley","RB","218","66","999","","0"
"Noah Gray","TE","219","35","999","","0"
"Ollie Gordon","RB","220","67","999","","0"
"Kirk Cousins","QB","221","37","999","","0"
"Elic Ayomanor","WR","222","83","999","","0"
"Jordan James","RB","223","68","999","","0"
"Ben Sinnott","TE","224","36","999","","0"
"Amari Cooper","WR","225","84","999","","0"
